,place_id,location,dataset
0,road_0,"{'type': 'LineString', 'coordinates': [[-9.14642, 38.731771], [-9.146687, 38.732871]]}",waze
1,road_1,"{'type': 'LineString', 'coordinates': [[-9.148362, 38.723297], [-9.147165, 38.721946]]}",waze
11,road_2,"{'type': 'LineString', 'coordinates': [[-9.148362, 38.723297], [-9.148255, 38.72335]]}",waze
12,road_3,"{'type': 'LineString', 'coordinates': [[-9.147071, 38.721989], [-9.147165, 38.721946]]}",waze
13,road_4,"{'type': 'LineString', 'coordinates': [[-9.149304, 38.724544], [-9.149368, 38.724596]]}",waze
17,road_5,"{'type': 'LineString', 'coordinates': [[-9.144922, 38.735108], [-9.143467, 38.735143], [-9.143312, 38.735147], [-9.141605, 38.735183], [-9.140575, 38.735208]]}",waze
55,road_6,"{'type': 'LineString', 'coordinates': [[-9.146198, 38.727345], [-9.146858, 38.726844], [-9.147266, 38.726557], [-9.147711, 38.726209], [-9.148222, 38.72581], [-9.148776, 38.725422], [-9.149004, 38.725415]]}",waze
56,road_7,"{'type': 'LineString', 'coordinates': [[-9.153465, 38.725007], [-9.152742, 38.724198], [-9.151883, 38.723235]]}",waze
58,road_8,"{'type': 'LineString', 'coordinates': [[-9.157733, 38.722567], [-9.157251, 38.722287], [-9.157101, 38.722175], [-9.15654, 38.721615], [-9.156314, 38.721362], [-9.15576, 38.720755], [-9.155594, 38.720563], [-9.155568, 38.720455]]}",waze
61,road_9,"{'type': 'LineString', 'coordinates': [[-9.147649, 38.733222], [-9.148671, 38.733608], [-9.149676, 38.733993], [-9.150509, 38.734298], [-9.150687, 38.734368], [-9.151373, 38.734627]]}",waze
92,road_10,"{'type': 'LineString', 'coordinates': [[-9.144355, 38.728798], [-9.144511, 38.728936], [-9.144621, 38.729001], [-9.145892, 38.729467], [-9.147109, 38.729919]]}",waze
93,road_11,"{'type': 'LineString', 'coordinates': [[-9.147252, 38.731969], [-9.147731, 38.731177], [-9.148239, 38.730333]]}",waze
107,road_12,"{'type': 'LineString', 'coordinates': [[-9.145489, 38.732596], [-9.145348, 38.732615], [-9.145212, 38.732588], [-9.14505, 38.732375], [-9.144932, 38.732297], [-9.14441, 38.731646], [-9.144042, 38.731164], [-9.144056, 38.731109], [-9.143938, 38.73094]]}",waze
109,road_13,"{'type': 'LineString', 'coordinates': [[-9.151466, 38.717726], [-9.151971, 38.718074], [-9.152436, 38.71835], [-9.152738, 38.718516], [-9.1531, 38.718723], [-9.153444, 38.719042], [-9.154158, 38.719903], [-9.154167, 38.719954]]}",waze
111,road_14,"{'type': 'LineString', 'coordinates': [[-9.158576, 38.724721], [-9.158905, 38.724674], [-9.159364, 38.724613], [-9.159634, 38.724624], [-9.160056, 38.724535], [-9.16053, 38.724431], [-9.162418, 38.72403], [-9.162917, 38.723936]]}",waze
126,road_15,"{'type': 'LineString', 'coordinates': [[-9.152143, 38.721763], [-9.151495, 38.722799], [-9.150482, 38.724548]]}",waze
257,road_16,"{'type': 'LineString', 'coordinates': [[-9.1582, 38.726558], [-9.158879, 38.727266], [-9.159553, 38.727997], [-9.159668, 38.728093], [-9.159795, 38.72814], [-9.160075, 38.728149]]}",waze
260,road_17,"{'type': 'LineString', 'coordinates': [[-9.159617, 38.723529], [-9.159744, 38.723487], [-9.16019, 38.723088], [-9.160268, 38.722922], [-9.160431, 38.722371], [-9.160659, 38.721703], [-9.160882, 38.721231], [-9.161013, 38.72085]]}",waze
329,road_18,"{'type': 'LineString', 'coordinates': [[-9.148679, 38.727755], [-9.148962, 38.72735], [-9.149325, 38.726755], [-9.149629, 38.726085], [-9.149904, 38.725649], [-9.150502, 38.725312], [-9.152413, 38.725169], [-9.153432, 38.725093]]}",waze
480,road_19,"{'type': 'LineString', 'coordinates': [[-9.145369, 38.720553], [-9.143667, 38.718637]]}",waze
505,road_20,"{'type': 'LineString', 'coordinates': [[-9.144449, 38.730546], [-9.144713, 38.730408], [-9.144817, 38.730224], [-9.144504, 38.730123], [-9.14423, 38.729947], [-9.143963, 38.729668], [-9.143683, 38.729286]]}",waze
507,road_21,"{'type': 'LineString', 'coordinates': [[-9.149143, 38.727543], [-9.149231, 38.727671], [-9.150656, 38.729268], [-9.150695, 38.729312], [-9.150887, 38.729531]]}",waze
551,road_22,"{'type': 'LineString', 'coordinates': [[-9.144025, 38.737471], [-9.143741, 38.736342], [-9.143467, 38.735143], [-9.143326, 38.73459]]}",waze
799,road_23,"{'type': 'LineString', 'coordinates': [[-9.151749, 38.71532], [-9.152095, 38.715832], [-9.152228, 38.716072], [-9.152657, 38.716786]]}",waze
1151,road_24,"{'type': 'LineString', 'coordinates': [[-9.145016, 38.734146], [-9.144995, 38.733861], [-9.145026, 38.733624], [-9.145093, 38.733448], [-9.14501, 38.733417], [-9.144915, 38.733397], [-9.144833, 38.733388], [-9.144737, 38.733396], [-9.144648, 38.733416], [-9.144575, 38.73345], [-9.144491, 38.733494], [-9.144423, 38.73355], [-9.14438, 38.733614], [-9.144345, 38.733707], [-9.144334, 38.733814], [-9.144366, 38.733926], [-9.144455, 38.734048], [-9.144574, 38.734127]]}",waze
1154,road_25,"{'type': 'LineString', 'coordinates': [[-9.146182, 38.731692], [-9.14642, 38.731771], [-9.147192, 38.732069], [-9.147337, 38.732122], [-9.1477, 38.732262], [-9.148013, 38.732381], [-9.148155, 38.732376], [-9.14806, 38.7323], [-9.147845, 38.732213], [-9.147422, 38.732059], [-9.147337, 38.732122]]}",waze
1158,road_26,"{'type': 'LineString', 'coordinates': [[-9.142501, 38.72328], [-9.141561, 38.722699], [-9.141271, 38.722511], [-9.140737, 38.722374]]}",waze
1166,road_27,"{'type': 'LineString', 'coordinates': [[-9.146766, 38.741258], [-9.146284, 38.739341], [-9.146253, 38.739207], [-9.145762, 38.737212], [-9.14552, 38.736176], [-9.145327, 38.735419], [-9.14525, 38.735104], [-9.145016, 38.734146]]}",waze
1171,road_28,"{'type': 'LineString', 'coordinates': [[-9.140446, 38.729638], [-9.140371, 38.729282], [-9.140355, 38.729146], [-9.140451, 38.728366], [-9.140568, 38.727595], [-9.140709, 38.726415], [-9.140681, 38.725635]]}",waze
